"","OBP","SLG","BA","Playoffs.x","BatAge","Num.Bat","Num.P","WAR","RA.G","ERA","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"514",0.335,0.409,0.275,0,27.2,48,26,7.6,5.02,4.58,4.7,1.509,9.9,1.1,3.7,5.5,1.5,7.61728395061728,95,0.277777777777778,0.0432098765432099,0.0493827160493827,0.00617283950617284,4.87654320987654,76
"515",0.323,0.422,0.273,0,27.7,46,25,3.5,5.97,5.41,4.72,1.588,10.5,1.1,3.8,5.7,1.5,7.46913580246914,88,0.216049382716049,0.0555555555555556,0,0,4.67901234567901,67
"516",0.362,0.434,0.275,0,30.7,40,22,5.6,5.17,4.65,4.77,1.454,9.7,1.2,3.4,5.2,1.53,7.16666666666667,92,0.222222222222222,0.0679012345679012,0.0432098765432099,0.0308641975308642,5.54938271604938,85
"517",0.314,0.346,0.248,0,27.7,43,18,4,4.47,4.13,4.21,1.413,9,0.8,3.7,5.9,1.58,7.50617283950617,103,0.296296296296296,0.0246913580246914,0.0308641975308642,0.00617283950617284,3.58641975308642,64
"518",0.33,0.409,0.267,0,27.1,36,16,5.4,3.89,3.49,3.65,1.276,8.5,0.7,3,6.6,2.22,6.94444444444444,111,0.259259259259259,0.111111111111111,0.0864197530864197,0.0617283950617284,4.41975308641975,85
"519",0.32,0.397,0.263,0,30,43,20,9.3,4.28,4.04,3.85,1.349,8.6,0.7,3.6,6.1,1.73,6.88271604938272,114,0.296296296296296,0.0987654320987654,0.037037037037037,0.0185185185185185,4.16666666666667,84
"520",0.321,0.383,0.261,0,28.8,35,15,7,4.09,3.5,3.71,1.34,8.6,0.6,3.5,6.4,1.84,7.37037037037037,109,0.222222222222222,0.104938271604938,0.0555555555555556,0.037037037037037,4.16666666666667,81
"521",0.328,0.378,0.258,0,28.4,40,18,6.7,4.89,4.45,4.45,1.405,9.4,1,3.2,5,1.55,7.11111111111111,96,0.179012345679012,0.160493827160494,0.037037037037037,0.0123456790123457,4.52469135802469,69
"522",0.327,0.385,0.264,0,29.6,41,16,3.6,5.12,4.71,4.23,1.457,9.9,0.9,3.2,5.6,1.75,6.9320987654321,92,0.271604938271605,0.0308641975308642,0.0185185185185185,0.00617283950617284,4.27777777777778,71
"523",0.326,0.386,0.257,0,25.7,48,22,5.2,4.18,3.55,3.94,1.297,8.5,0.7,3.2,5.8,1.79,6.98773006134969,118,0.374233128834356,0.049079754601227,0.0429447852760736,0,4.49079754601227,93.4233128834356
"524",0.305,0.39,0.248,0,29.4,41,19,4.2,4.59,4.05,4.05,1.333,9.3,0.9,2.7,5.4,2,6.74691358024691,99,0.135802469135802,0.0987654320987654,0.0493827160493827,0.0308641975308642,4.14814814814815,59
"525",0.353,0.435,0.279,0,29.7,41,22,6.2,4.7,4.35,4.49,1.404,9.2,1.1,3.5,5.6,1.63,6.93827160493827,96,0.234567901234568,0.0679012345679012,0.0802469135802469,0.0246913580246914,5.0679012345679,88
"526",0.33,0.394,0.254,0,28.3,43,22,4.5,5.22,4.9,4.71,1.536,9.6,1,4.2,5.4,1.27,7.73456790123457,84,0.259259259259259,0.0493827160493827,0.0123456790123457,0.00617283950617284,4.41358024691358,68
"527",0.351,0.426,0.274,1,29.3,40,20,6.5,4.57,3.95,3.85,1.353,8.7,0.8,3.5,6.8,1.95,7.41975308641975,101,0.283950617283951,0.148148148148148,0.0679012345679012,0.0493827160493827,5.41358024691358,97
"528",0.335,0.393,0.267,0,28.1,47,23,6.2,4.98,4.77,4.31,1.412,9.7,1,3,5.2,1.72,6.81481481481481,85,0.209876543209877,0.0740740740740741,0.0308641975308642,0.0246913580246914,4.3641975308642,75
"529",0.312,0.389,0.252,0,26.9,46,23,4.8,4.77,4.23,4.23,1.411,9.2,0.9,3.5,6,1.72,7.2962962962963,98,0.197530864197531,0.0493827160493827,0.037037037037037,0.0123456790123457,4.19135802469136,61
"530",0.339,0.406,0.26,0,28,48,23,8.7,4.51,4.2,4.09,1.394,8.8,0.8,3.7,6.7,1.79,7.17283950617284,105,0.253086419753086,0.135802469135802,0.0617283950617284,0.0308641975308642,4.53086419753086,82
"531",0.34,0.427,0.276,0,28,42,18,9.9,3.93,3.61,4.15,1.254,8.6,1,2.7,6.1,2.22,6.61111111111111,108,0.308641975308642,0.0246913580246914,0.0555555555555556,0.0123456790123457,4.98765432098765,103
"532",0.341,0.395,0.272,0,28,39,18,5.1,4.59,4.09,4.16,1.332,9.6,0.9,2.4,4.8,2.02,6.74691358024691,96,0.333333333333333,0.0308641975308642,0.0432098765432099,0,4.67901234567901,87
"533",0.329,0.431,0.267,0,27.8,44,21,6.9,4.64,4.28,4.22,1.417,9.2,0.9,3.5,6,1.7,7.19753086419753,98,0.277777777777778,0.123456790123457,0.037037037037037,0.0185185185185185,5.15432098765432,86
"534",0.35,0.436,0.279,1,29.2,38,16,7.7,4.58,4.21,4.13,1.43,9,0.8,3.9,6.4,1.65,7.42592592592593,103,0.308641975308642,0.0679012345679012,0.0679012345679012,0.0246913580246914,5.22839506172839,95
"535",0.316,0.388,0.254,1,28.4,41,19,4.9,3.51,3.14,3.34,1.24,8.1,0.5,3,5.8,1.94,6.9320987654321,118,0.253086419753086,0.160493827160494,0.148148148148148,0.0864197530864197,4.20987654320988,98
